facility_name,mfl_code,support_period,programs,mechanism_name,attribution_id
Ngumba medical clinic,19236,2017Q3,"FPRH,WASH",AfyaJijini,289802
Meridian Medical Donholm Clinic,17727,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Jericho Health Centre,12988,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Babadogo Medical Health Centre,12877,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Marura Nursing Home,13070,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kaloleni Health Servics,12999,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Olive Link Health Care,18797,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Unity Nursing Home,18334,2017Q3,"FPRH, WASH, NUTRITION",AfyaJijini,289802
Meridian Equator Hospital,13109,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Aptc Health Centre,12871,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Langata Health Centre,13041,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Aski Medical Clinic,12873,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Bridget's Mother & Child,13199,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Huruma Lions Dispensary,12974,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lea Toto Community Mukuru Rueben,17720,2017Q3,"WASH, NUTRITION",AfyaJijini,289802
Kariobangi EDARP,18743,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Makina Clinic,13058,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Brother andre Clinic,12887,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
ofafa I Clinic,13132,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Michael,13219,2017Q3,"FPRH,WASH",AfyaJijini,289802
Pipeline Nursing Home,12978,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Coptic Hospital (Ngong Road),12905,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Chonesus Clinic,19035,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Pstc Health Centre,13153,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Dagoretti Approved Dispensary,12909,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Wema Medical Clinic,17394,2017Q3,"FPRH, WASH",AfyaJijini,289802
Mother & Child Hospital,13096,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Dandora II Health Centre,12912,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Blissgvs Health Care(Pipeline),21050,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Jahmii Medical Hospital,12986,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Senye Medical Clinic,13179,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Melchezedek Hospital,13086,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Clare Medical Clinic,18465,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
St Philips Health Centre,13224,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mathare North Health Centre,13077,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lagos Road Dispensary,13039,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Babadogo Health Centre,12876,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mukuru Mmm Clinic,13101,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Getrude Donholm Clinic,12952,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Francis Health Centre (Nairobi North),13203,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Round About Medical Dispensary,13167,2017Q3,"FPRH,WASH",AfyaJijini,289802
Hakati Medical Clinic,12967,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Parkroad Nursing Home (Nairobi),13139,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Family Health Options Phoenix,12939,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Theresa's Health Services,13226,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lea Toto Clinic Kariobangi South,13047,2017Q3,"WASH, NUTRITION",AfyaJijini,289802
Eastleigh Health Centre,12930,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Gaimu Medical Clinic,12946,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Saola Maternity and Nursing Home,13178,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Family Care Clinic Kasarani,12937,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mbotela Clinic,13081,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Karen Health Centre,13003,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lianas Clinic Health Centre,13049,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Kaloleni Health Centre,12998,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Getrude Children Hospital Buru Buru,20886,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lea Toto Dagoretti,13046,2017Q3,"WASH, NUTRITION",AfyaJijini,289802
Kariokor Clinic,13007,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Salama Nursing Home,13175,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mathare 3A (EDARP),13075,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Baraka Dispensary (Nairobi),12881,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Pipeline Medical Health Services,13143,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Family Care Medical Centre (Phoenix),13140,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Njiru Dispensary,13126,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Samaritan Medical Services (Dandora),13176,2017Q3,"FPRH,WASH",AfyaJijini,289802
Medical Link Integrated Health Program,19493,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Loco Dispensary,13051,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kayole II Sub-District Hospital,13016,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mercillin Afya Centre,13088,2017Q3,"FPRH,WASH",AfyaJijini,289802
Maria Dominica Dispensary,13061,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kariobangi Health Centre,13006,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Vincent Catholic Clinic,13230,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kayole Hospital,13014,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Riruta Health Centre,13165,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lad Nan Hospital,19316,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Provide International Korogocho,13150,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Pumwani Majengo Dispensary,13155,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kangemi Health Centre,13001,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kenyatta University Dispensary,13024,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Maria Maternity and Nursing Home,13063,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Coptic Medical Clinic,12904,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Makadara Health Centre,13056,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Arrow Web Maternity and Nursing Home,12872,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Kariobangi South Clinic,17434,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Fremo Medical Centre,18612,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Getrudes Children Hospital Pangani,19314,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mwatate Health Care Centre,19454,2017Q3,"FPRH,WASH",AfyaJijini,289802
Revival Home Based Care Clinic,16168,2017Q3,"FPRH,WASH",AfyaJijini,289802
Garrison Health Centre,12947,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Green Cross Clinic,19895,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kayole I Health Centre,13015,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Tabitha Medical Clinic,13234,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St John's Community Health Clinic,18222,2017Q3,"FPRH,WASH",AfyaJijini,289802
EDARP Soweto Health Centre,13191,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Florence Medical Care Health Centre,13201,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Langata Hospital,13042,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Babadogo (EDARP),12875,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
