no,facility,ward,subcounty,county,mfl_code,orgunitid,support_period,programs,mechanism_name,attribution_id
1,St Vincents De Paul Health Centre,Muhoroni koru Ward,Muhoroni Sub County,Kisumu County,14128,12674,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
2,Muhoroni Sugar Company (Musco) Dispensary,Muhoroni koru Ward,Muhoroni Sub County,Kisumu County,13832,12343,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
3,Muhoroni County  Hospital,Muhoroni koru Ward,Muhoroni Sub County,Kisumu County,13831,14439,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
4,Mnara Dispensary,Muhoroni koru Ward,Muhoroni Sub County,Kisumu County,13817,8390,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
5,Koru Dispensary,Muhoroni koru Ward,Muhoroni Sub County,Kisumu County,17110,9675,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
6,Kandege Health Center,Muhoroni koru Ward,Muhoroni Sub County,Kisumu County,13652,14438,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
7,Jaber Dispensary,Muhoroni koru Ward,Muhoroni Sub County,Kisumu County,20503,10405,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
8,Miwani Dispensary,Miwani Ward,Muhoroni Sub County,Kisumu County,13816,9876,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
9,Kasongo Dispensary,Miwani Ward,Muhoroni Sub County,Kisumu County,16282,6337,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
10,Nyang'oma Sub County Hospital,Masogo/nyang'oma Ward,Muhoroni Sub County,Kisumu County,13928,9724,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
11,Nyakunguru Dispensary,Masogo/nyang'oma Ward,Muhoroni Sub County,Kisumu County,20500,10233,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
12,Miranga Dispensary,Masogo/nyang'oma Ward,Muhoroni Sub County,Kisumu County,20907,6517,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
13,Milenye Dispensary,Masogo/nyang'oma Ward,Muhoroni Sub County,Kisumu County,20332,3523,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
14,Migere Dispensary,Masogo/nyang'oma Ward,Muhoroni Sub County,Kisumu County,21487,6417,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
15,Masogo Sub County Hospital,Masogo/nyang'oma Ward,Muhoroni Sub County,Kisumu County,13785,14430,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
16,Yago Community Dispensary,Chemelil Ward,Muhoroni Sub County,Kisumu County,20334,7083,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
17,Tamu Health Centre,Chemelil Ward,Muhoroni Sub County,Kisumu County,14141,6964,2018Q3,"FPRH, MCH, Training",Afya Halisi,2081099
