no,ipsl_id,facility,ward,subcounty,county,mfl_code,orgunitid,support_period,programs,mechanism_name,attribution_id
1,20646,Eshiabwali Health Centre,Kisa East Ward,Khwisero Sub County,Kakamega County,19899,17014,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
2,20645,Emalindi Health Centre,Kisa East Ward,Khwisero Sub County,Kakamega County,17409,17284,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
3,20644,Elwangale Health Centre,Kisa East Ward,Khwisero Sub County,Kakamega County,16714,2630,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
4,20643,Namasoli Health Centre,Kisa Central Ward,Khwisero Sub County,Kakamega County,16065,17413,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
5,20642,Munyanza Nursing Home,Kisa Central Ward,Khwisero Sub County,Kakamega County,16045,17203,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
6,20641,Mundoli Health Centre,Kisa Central Ward,Khwisero Sub County,Kakamega County,16040,17157,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
7,20640,Mulwanda Dispensary,Kisa Central Ward,Khwisero Sub County,Kakamega County,16033,2651,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
8,20639,Emutsesa Health Centre,Kisa Central Ward,Khwisero Sub County,Kakamega County,16055,17168,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
9,20638,Emahene Medical Clinic,Kisa Central Ward,Khwisero Sub County,Kakamega County,18165,17328,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
10,20637,Ekambuli Health Centre,Kisa Central Ward,Khwisero Sub County,Kakamega County,20673,17264,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
11,20636,Bukwala SDA Dispensary,Kisa Central Ward,Khwisero Sub County,Kakamega County,18315,17327,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
12,20635,Sibuoche Dispensary,West Kanyamkago Ward,Uriri Sub County,Migori County,14082,7588,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
13,20634,Osogo Dispensary,West Kanyamkago Ward,Uriri Sub County,Migori County,13997,7587,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
14,20633,Nyamage Dispensary,West Kanyamkago Ward,Uriri Sub County,Migori County,22348,292586,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
15,20632,Midida Dispensary,West Kanyamkago Ward,Uriri Sub County,Migori County,17342,7664,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
16,20631,LELA Dispensary,West Kanyamkago Ward,Uriri Sub County,Migori County,20384,7688,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
17,20630,Nyasoko Dispensary,South kanyamkago Ward,Uriri Sub County,Migori County,20075,1836,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
18,20629,Lwala Dispensary,South kanyamkago Ward,Uriri Sub County,Migori County,20385,7680,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
19,20628,Kolwal Dispensary,South kanyamkago Ward,Uriri Sub County,Migori County,17344,7586,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
20,20627,Kamsaki Dispensary,South kanyamkago Ward,Uriri Sub County,Migori County,21411,4927,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
21,20626,Bware Health Center,South kanyamkago Ward,Uriri Sub County,Migori County,13519,4630,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
22,20625,Wangiya dispensary,North kanyamkago Ward,Uriri Sub County,Migori County,20074,4953,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
23,20624,St Monica Rapogi Health Centre,North kanyamkago Ward,Uriri Sub County,Migori County,14121,7663,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
24,20623,Othoro Sub County Hospital,North kanyamkago Ward,Uriri Sub County,Migori County,14003,7784,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
25,20622,Ongito Dispensary,North kanyamkago Ward,Uriri Sub County,Migori County,13988,7640,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
26,20621,Nyamasare Dispensary,North kanyamkago Ward,Uriri Sub County,Migori County,13900,7884,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
27,20620,Koloo Dispensary,North kanyamkago Ward,Uriri Sub County,Migori County,17038,7734,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
28,20619,Thim Jope Dispensary,East Kanyamkago Ward,Uriri Sub County,Migori County,20073,6721,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
29,20618,Oyani Sub County Hospital,East Kanyamkago Ward,Uriri Sub County,Migori County,14009,7494,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
30,20617,Uriri Sub County Hospital,Central kanyamkago Ward,Uriri Sub County,Migori County,14161,3858,2019Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
