facility_name,mfl_code,support_period,programs,mechanism_name,attribution_id
Frepals Community Nursing Home,12944,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Madina Nursing Home,13055,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Aptc Health Centre,12871,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Provide International Korogocho,13150,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Ngumba medical clinic,19236,"Q1, Q2","FPRH,WASH",AfyaJijini,289802
Tabitha Medical Clinic,13234,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Umoja Hospital,13241,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kianda 42 Community Clinic,20621,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kahawa Garrison Health Centre,12996,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mukuru Mmm Clinic,13101,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kivuli Dispensary,13036,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mercillin Afya Centre,13088,"Q1, Q2","FPRH,WASH",AfyaJijini,289802
Mama Lucy Kibaki Hospital -Embakasi,17411,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Bahati Health Centre,12879,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Makadara Mercy Sisters Dispensary,13057,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Njiru Dispensary,13126,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Loco Dispensary,13051,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Jellin Medical Clinic,,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kabete Approved School Dispensary,12993,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Getrude Children Hospital Buru Buru,20886,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Korogocho Health Centre,18895,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mbagathi District Hospital,13080,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Patanisho Maternity and Nursing Home,12977,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mathare 3A (EDARP),13075,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Emmaus Nursing Home,12936,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Huruma Nursing Home & Maternity,12976,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Saola Maternity and Nursing Home,13178,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Langata Women Prison Dispensary,13044,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Family Care Medical Centre & Maternity,12942,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Edna Clinic,12933,"Q1, Q2","FPRH,WASH, NUTRITION",AfyaJijini,289802
Westlands Health Centre,13258,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Waithaka Health Centre,13249,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St John Hospital,13205,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mid Hill Medical Clinic,13091,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Huruma (EDARP),12973,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Maria Immaculate Health Centre,13062,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Gertrudes Childrens Hospital,12950,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mbotela Clinic,13081,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Family Health Options Phoenix,12939,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Embakasi Medical Centre,19437,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St John's Community Health Clinic,18222,"Q1, Q2","FPRH,WASH",AfyaJijini,289802
Babadogo Medical Health Centre,12877,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Samaritan Community Health Clinic,13177,"Q1, Q2","FPRH,WASH",AfyaJijini,289802
Special Treatment Clinic,13193,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lengo Medical Clinic,18590,"Q1, Q2","FPRH,WASH, NUTRITION",AfyaJijini,289802
Mukuru Health Centre,18463,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mwiki CFW Clinic,13012,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mji Wa Huruma Dispensary,13093,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lea Toto Community Mukuru Rueben,17720,"Q1, Q2","WASH, NUTRITION",AfyaJijini,289802
Eagle Health Care Solution,,"Q1, Q2","FPRH,WASH, NUTRITION",AfyaJijini,289802
Kariobangi South Clinic,17434,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Amurt Health Centre,12870,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Maria Maternity and Nursing Home,13063,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kenyatta University Dispensary,13024,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Gsu Hq Dispensary (Ruaraka),12963,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Gsu Dispensary (Nairobi West),12961,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kasarani Health Centre,13010,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Flomed Med Clinic,18472,"Q1, Q2","FPRH,WASH, NUTRITION",AfyaJijini,289802
SDA Health Services Likoni Road Clinic,18593,"Q1, Q2","FPRH,WASH",AfyaJijini,289802
St Philips Health Centre,13224,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
P & T Clinic,13136,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Lad Nan Hospital,19316,"Q1, Q2","FPRH,WASH, NUTRITION",AfyaJijini,289802
Melchezedek Hospital,13086,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Senye Medical Clinic,13179,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Dagoretti Approved Dispensary,12909,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Alice Nursing Home,,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Hono Clinic,12969,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Alliance Medical Centre,17847,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Maurice Medical Services,19438,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mariakani Cottage Hospital Ltd,13064,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Jahmii Medical Hospital,12986,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Kayole Hospital,13014,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
MOW Dispensary,13097,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Ruai Health Centre,13171,"Q1, Q2","FPRH,WASH, NUTRITION",AfyaJijini,289802
Provide International Mutindwa Umoja Clinic,12971,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Tena (PCEA) Clinic,13236,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Blue House Dispensary,12885,"Q1, Q2","MCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
