facility_name,ward,subcounty,county,mfl_code,orgunitid,support_period,programs,mechanism_name,attribution_id
Thaana Nzau Dispensary,Kyome/thaana Ward,Mwingi West Sub County,Kitui County,12792,11576,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Yatwa Dispensary,Nuu Ward,Mwingi Central Sub- County,Kitui County,12854,11555,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Ngo'Nga' Dispensary,South sakwa Ward,Awendo Sub County,Migori County,17052,9229,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Ematiha Dispensary,Ingoste-Matiha Ward,Navakholo Sub County,Kakamega County,16867,10592,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Masasini Dispensary,Mutitu/kaliku Ward,Kitui East Sub County,Kitui County,20428,7311,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Tii Dispensary,Kyuso Ward,Mwingi North Sub County,Kitui County,12800,12414,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kwoyo Kodalo Dispensary,North sakwa Ward,Awendo Sub County,Migori County,13729,8082,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kemri Medical Clinic,Central Kisumu Ward,Kisumu West Sub County,Kisumu County,18301,6338,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Mutito Catholic Dispensary,Mutitu/kaliku Ward,Kitui East Sub County,Kitui County,12599,12411,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Mama Fridah Clinic,Tagare Ward,Kuria West Sub County,Migori County,13763,11492,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Olasi Dispensary,Kaler Ward,Nyatike Sub County,Migori County,13975,7165,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Nyang'oma Sub County Hospital,Masogo/nyang'oma Ward,Muhoroni Sub County,Kisumu County,13928,9724,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Kebaroti Dispensary,Nyabasi west Ward,Kuria East Sub County,Migori County,13659,12377,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Makongoni Dispensary,Mutomo Ward,Kitui South Sub County,Kitui County,19107,11274,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kithito Medical Centre,Endau/malalani Ward,Kitui East Sub County,Kitui County,20021,6720,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Mercy Clinic (Ikutha),Athi Ward,Kitui South Sub County,Kitui County,12511,6186,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Mathunzini Dispensary,Nguutani Ward,Mwingi West Sub County,Kitui County,16656,7322,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
St Consolata Clinic,Kajulu Ward,Kisumu East Sub County,Kisumu County,14105,6888,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Uae Dispensary,Mutomo Ward,Kitui South Sub County,Kitui County,22188,2846,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kharanda Health Centre,Bunyala west Ward,Navakholo Sub County,Kakamega County,15934,4729,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Ombo Kowiti Dispensary,Central kanyamkago Ward,Uriri Sub County,Migori County,17039,7659,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Jalaram Nursing Home,Market Milimani Ward,Kisumu Central Sub County,Kisumu County,13632,6318,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Nyaroha Dispensary,Nyabasi west Ward,Kuria East Sub County,Migori County,22121,3494,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Tharaka Health Centre,Tharaka Ward,Mwingi North Sub County,Kitui County,12794,11816,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Migosi Sub County Hospital,Migosi Ward,Kisumu Central Sub County,Kisumu County,13807,6418,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Indangalasia Dispensary,Koyonzo Ward,Matungu Sub County,Kakamega County,17929,6925,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kyoani Dispensary,Ikutha Ward,Kitui South Sub County,Kitui County,12416,12399,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Bonde dispensary,South sakwa Ward,Awendo Sub County,Migori County,22974,2061860,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kalikuvu Dispensary,Mulango Ward,Kitui Central  Sub County,Kitui County,12152,6454,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Katulani Sub District Hospital (Kitui),Mulango Ward,Kitui Central  Sub County,Kitui County,16991,2144,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Mwikalikha Health Centre,Kisa north Ward,Khwisero Sub County,Kakamega County,17410,13681,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
AAR Health care-Kisumu,Market Milimani Ward,Kisumu Central Sub County,Kisumu County,20956,13390,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Family Nursing home and Maternity ( Mwingi Central),Central Ward,Mwingi Central Sub- County,Kitui County,18568,7609,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Sinai Medical Services,Central Ward,Mwingi Central Sub- County,Kitui County,17123,7642,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Jordan Hospital,Township Ward,Kitui Central  Sub County,Kitui County,12110,4674,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Ngongoni Dispensary (Kyuso),Tseikuru Ward,Mwingi North Sub County,Kitui County,16864,9514,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Got Nyabondo Dispensary,Kajulu Ward,Kisumu East Sub County,Kisumu County,13591,13203,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
Mutomo Medical Services,Mutomo Ward,Kitui South Sub County,Kitui County,20341,2311,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Brase Clinic and Eye Centre,Oruba Ward,Suna West Sub County,Migori County,17731,14700,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Central Medical Clinic,Township Ward,Kitui Central  Sub County,Kitui County,18903,2061102,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Kanga Onditi Dispensary,Kaler Ward,Nyatike Sub County,Migori County,21395,1526,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Wangiya dispensary,North kanyamkago Ward,Uriri Sub County,Migori County,20074,4953,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Nyamekongoroto Health Centre,Masaba Ward,Kuria West Sub County,Migori County,13907,7315,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kiomo Dispensary,Kiomo/kyethani Ward,Mwingi West Sub County,Kitui County,16655,7624,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Royal Nursing Home,Central Kamagambo Ward,Rongo Sub County,Migori County,14061,2402,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kilulu Dispensary,Migwani Ward,Mwingi West Sub County,Kitui County,16926,7349,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Matulani Dispensary,Mui Ward,Mwingi Central Sub- County,Kitui County,20257,10560,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
God Jope Dispensary,God jope Ward,Suna East Sub County,Migori County,13582,2502,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Osingo Dispensary,God jope Ward,Suna East Sub County,Migori County,13996,7785,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Ojele Memorial Hospital,Oruba Ward,Suna West Sub County,Migori County,13970,5252,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kamagambo SDA Dispenasry,East kamagambo Ward,Rongo Sub County,Migori County,13649,2321,2018Q2,"FPRH, MCH,Nutrition, WASH, Training",Afya Halisi,2081099
Kyome (AIC) Dispensary,Kyome/thaana Ward,Mwingi West Sub County,Kitui County,12417,7402,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Syongila Dispensary,Township Ward,Kitui Central  Sub County,Kitui County,12781,4603,2018Q2,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
Muhoroni Sugar Company (Musco) Dispensary,Muhoroni koru Ward,Muhoroni Sub County,Kisumu County,13832,12343,2018Q2,"FPRH, MCH, Training",Afya Halisi,2081099
