facility_name,mfl_code,orgunitid,support_period,programs,mechanism_name,attribution_id
Makadara Mercy Sisters Dispensary,13057,7365,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Ruaraka Clinic,13172,7141,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Frepals Community Nursing Home,12944,13082,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Gatwikera (Msf Belgium) Medical Clinic,12948,12511,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mukuru Health Centre,18463,6652,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Samaritan Community Health Clinic,13177,10368,2017Q3,"FPRH,WASH",AfyaJijini,289802
Proact . H. services,,1750,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Emmaus Nursing Home,12936,9236,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Huruma Nursing Home and Maternity,12976,7113,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Uzima Dispensary,13246,5836,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mercy Medical Centre,,4203,2017Q3,"FPRH,WASH",AfyaJijini,289802
St Clare Medical Clinic,18465,6878,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
Wakibe Clinic,13250,12890,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Joseph Mukasa Dispensary,13208,11206,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Mary Immaculate Clinic Mukuru,12982,6546,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
Suba Medical Centre,20574,17165,2017Q3,"FPRH,WASH",AfyaJijini,289802
Bristal Park Hospital,18271,17201,2017Q3,"FPRH,WASH, NUTRITION",AfyaJijini,289802
St Mary's Health Services,13217,7138,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
St Raphael's Clinic,17683,3028,2017Q3,"MNCH, FPRH, WASH, NUTRITION",AfyaJijini,289802
